Id,Label,timeset,genres,followers,related artist,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,modularity_class,componentnumber,strongcompnum,clustering
0,*NSYNC,,"['boy band', 'dance pop', 'pop', 'post-teen pop']",1603363,,0,0,0,0,1,0,1,87,0,0,0
1,13 Organisé,,"['french hip hop', 'pop urbaine']",138778,,0,0,0,0,0,0,0,0,1,1,0
2,187 Strassenbande,,"['german hip hop', 'hamburg hip hop']",1241344,"RAF Camora, KC Rebell, Gzuz",5,0.375,0.501111,4.583333,4,3,7,10,2,9,0.366667
3,21 Savage,,"['atl hip hop', 'hip hop', 'rap', 'trap']",10175028,"Trippie Redd, Migos, Don Toliver, Lil Yachty, Gunna, Lil Baby, Baby Keem, NAV, Playboi Carti",17,0.111969,0.18806,770.314764,7,9,16,66,0,41,0.311111
4,24kGoldn,,"['cali rap', 'pop rap']",1377804,"Internet Money, TOKYO’S REVENGE, benny blanco, Lil Tecca, Juice WRLD, Lil Mosey, iann dior, Arizona Zervas, jxdn, Tyla Yaweh",13,0.17505,0.257121,6462.511304,1,10,11,66,0,41,0.233333
5,347aidan,,"['sad lo-fi', 'sad rap']",236481,,0,0,0,0,0,0,0,1,3,42,0
6,5 Seconds of Summer,,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']",7890539,"One Direction, Jonas Brothers, ZAYN, Niall Horan, Madison Beer, Liam Payne",11,0.187905,0.241724,47.838107,8,6,14,87,0,41,0.377778
7,6ix9ine,,"['emo rap', 'rap']",6545366,"Roddy Ricch, YNW Melly, NAV, Lil Mosey",16,0.122535,0.180345,0.494755,1,4,5,66,0,41,0.55
8,A Boogie Wit da Hoodie,,"['melodic rap', 'rap', 'trap']",5976377,"Trippie Redd, Lil Tjay, Lil Yachty, Lil Mosey, YNW Melly, NAV",16,0.122968,0.190306,7.935706,3,6,9,66,0,41,0.357143
9,A$AP Ferg,,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",3095999,Migos,19,0.092602,0.129111,0,3,1,4,66,0,41,0.333333
10,AC/DC,,"['australian rock', 'hard rock', 'rock']",20778582,,0,0,0,0,1,0,1,8,4,43,0
11,AK AUSSERKONTROLLE,,['german hip hop'],706677,,0,0,0,0,1,0,1,10,2,6,0
12,ATB,,"['german dance', 'german techno', 'german trance', 'trance']",300781,,0,0,0,0,0,0,0,2,5,44,0
13,AURORA,,"['art pop', 'norwegian pop']",1844570,,0,0,0,0,0,0,0,3,6,45,0
14,Adele,,"['british soul', 'pop', 'pop soul', 'uk pop']",29134957,"Miley Cyrus, Meghan Trainor, Sam Smith, P!nk, Ellie Goulding, Kelly Clarkson, Leona Lewis, Sia",12,0.206221,0.285837,70.962302,1,8,9,87,0,47,0.142857
15,Agust D,,['k-rap'],6038181,TOMORROW X TOGETHER,1,1,1,0,1,1,2,4,7,49,0.5
16,Alan Walker,,['electro house'],30515652,"Sam Feldt, The Chainsmokers",14,0.147152,0.180407,0,0,2,2,72,0,56,0
17,Alec Benjamin,,"['alt z', 'dream smp', 'electropop', 'pop']",2953479,"Tate McRae, Dean Lewis, Alexander 23, Bea Miller",12,0.155774,0.193143,2971.011267,2,4,6,87,0,41,0.166667
18,Alex Rose,,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",2290748,"Myke Towers, Lunay, Rvssian, Jhay Cortez, Kevin Roldan",9,0.257353,0.390215,20.739185,11,5,16,100,0,32,0.381818
19,Alexander 23,,"['alt z', 'pop']",222488,"JP Saxe, Sara Kays",2,0.75,0.833333,245.368848,6,2,8,87,0,15,0.1
20,Ali Gatie,,"['canadian hip hop', 'pop']",1782799,"benny blanco, Tate McRae, Trevor Daniel, Kina",12,0.182952,0.231719,0,0,4,4,66,0,58,0.083333
21,Alida,,['norwegian pop'],17068,Robin Schulz,2,0.6,0.666667,0,0,1,1,72,0,59,0
22,Alok,,"['electro house', 'pop nacional', 'slap house']",10569336,PEDRO SAMPAIO,3,0.5,0.583333,0,0,1,1,90,8,62,0
23,Andy Williams,,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']",380035,"Brenda Lee, Perry Como",2,0.75,0.833333,2.5,7,2,9,97,9,63,0.404762
24,Anitta,,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",10828270,Luísa Sonza,3,0.5,0.611111,0,1,1,2,90,8,61,0
25,Anne-Marie,,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",8449283,"Bebe Rexha, Mabel, Niall Horan, Ellie Goulding, Liam Payne",12,0.174349,0.226982,268.447379,10,5,15,87,0,41,0.245455
26,Ant Saunders,,"['chill r&b', 'pop']",83242,"Peach Tree Rascals, MAX, Alexander 23",12,0.170068,0.211407,0,0,3,3,64,0,64,0
27,Anuel AA,,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",18945557,"Nio Garcia, Myke Towers, Lunay, Rvssian, Jhay Cortez, Bad Bunny, Tainy",8,0.3125,0.466224,124.589241,12,7,19,100,0,32,0.474359
28,Apache 207,,['german hip hop'],1728140,"KC Rebell, Bausa",4,0.380952,0.458333,0,0,2,2,10,2,65,1
29,Arcangel,,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",6881294,"Jowell & Randy, Nicky Jam, Yandel, Wisin, Farruko",1,1,1,41.822763,8,5,13,100,0,25,0.430556
30,Arctic Monkeys,,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",12709531,,0,0,0,0,0,0,0,5,10,66,0
31,Ariana Grande,,"['dance pop', 'pop']",69656977,"Little Mix, Bebe Rexha, Miley Cyrus, Normani, ZAYN, Halsey, Madison Beer, Camila Cabello, Selena Gomez, Demi Lovato, Bea Miller",10,0.214286,0.291071,83.941941,1,11,12,87,0,41,0.310606
32,Arizona Zervas,,"['pop rap', 'rhode island rap']",631025,Trevor Daniel,15,0.128984,0.154022,1619.122517,9,1,10,66,0,41,0.125
33,Ashe,,"['alt z', 'electropop', 'indie pop', 'pop']",710642,"Tate McRae, Sara Kays, Conan Gray, Bea Miller",12,0.155496,0.192377,1327.857268,6,4,10,87,0,41,0.160714
34,Ashnikko,,"['alt z', 'electropop', 'escape room', 'pop']",1369055,BIA,1,1,1,0.333333,1,1,2,16,0,68,0
35,Ava Max,,"['dance pop', 'pop']",4212713,"Bebe Rexha, Mabel, Clean Bandit, Anne-Marie, Sabrina Carpenter, Madison Beer, Ellie Goulding, Camila Cabello",11,0.19977,0.259866,328.546746,3,8,11,87,0,41,0.344444
36,Avicii,,"['dance pop', 'edm', 'pop', 'pop dance']",20644773,"Galantis, Martin Garrix",2,0.75,0.833333,0,0,2,2,72,0,69,0
37,Aya Nakamura,,"['basshall', 'francoton']",3088830,Vegedream,3,0.444444,0.541667,0,1,1,2,6,11,72,0
38,BANDIDO,,['concurso de talentos argentino'],26056,,0,0,0,0,0,0,0,7,12,73,0
39,BANNERS,,"['indie poptimism', 'modern rock', 'pop', 'pop rock']",433495,Dean Lewis,14,0.122622,0.144209,4086.49237,6,1,7,32,0,41,0.066667
40,BENEE,,"['alt z', 'nz pop', 'pop']",646786,Peach Tree Rascals,1,1,1,0,0,1,1,64,0,74,0
41,BIA,,"['escape room', 'r&b', 'rap latina', 'trap queen']",184479,,0,0,0,0,6,0,6,16,0,67,0.266667
42,BLACKPINK,,"['k-pop', 'k-pop girl group']",25172087,"ROSÉ, Red Velvet, TWICE, K/DA",2,0.75,0.833333,8,2,4,6,8,4,77,0.333333
43,BLANCO,,"['electropop', 'pop', 'pop rap']",824734,"Bazzi, Internet Money, Arizona Zervas, Trevor Daniel",12,0.196629,0.255388,175,1,4,5,66,0,78,0.1
44,BROCKHAMPTON,,"['boy band', 'hip hop', 'rap']",1862544,,0,0,0,0,6,0,6,32,0,79,0.133333
45,BTS,,"['k-pop', 'k-pop boy group']",39355301,"Agust D, TOMORROW X TOGETHER",1,1,1,0,0,2,2,4,7,80,0.5
46,Baby Keem,,"['hip hop', 'rap', 'trap']",455087,Cordae,1,1,1,13.798413,5,1,6,32,0,13,0.166667
47,Bad Bunny,,"['latin', 'reggaeton', 'trap latino']",38011613,"Alex Rose, Nio Garcia, Myke Towers, Lunay, Rvssian, KAROL G, Anuel AA, Kevin Roldan, Rauw Alejandro, Jhay Cortez, Ozuna, Tainy",7,0.364583,0.554082,5.662828,2,12,14,100,0,32,0.621212
48,Band Aid,,['musical advocacy'],20066,"Bobby Helms, Wham!",3,0.5,0.583333,0,0,2,2,97,9,84,0
49,Banda MS de Sergio Lizárraga,,"['banda', 'corrido', 'norteno', 'regional mexican']",12629261,,0,0,0,0,1,0,1,9,13,85,0
50,Barbara Pravi,,"['eurovision', 'nouvelle chanson francaise']",83726,,0,0,0,0,1,0,1,35,14,86,0
51,Bas,,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house']",4832673,"Tom Grennan, BANNERS",15,0.111111,0.132363,3791.436814,6,2,8,32,0,41,0.125
52,Bausa,,"['german hip hop', 'german pop']",969246,"Zuna, Bonez MC, Dardan, KitschKrieg, KC Rebell",3,0.517241,0.622222,38.483333,6,5,11,10,2,9,0.321429
53,Bazzi,,"['dance pop', 'electropop', 'pop']",4550364,"MAX, ZAYN, benny blanco, Madison Beer, Khalid, Lauv, Bea Miller",11,0.219975,0.287664,14350.995766,10,7,17,87,0,41,0.128205
54,Bea Miller,,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'modern rock', 'pop', 'post-teen pop', 'talent show']",2454538,Madison Beer,11,0.17665,0.201022,1965.109402,15,1,16,87,0,41,0.166667
55,Beach Bunny,,"['bubblegrunge', 'chicago indie', 'indie pop', 'pop']",666902,Wallows,15,0.106683,0.120748,174.5,2,1,3,87,0,41,0.333333
56,Bebe Rexha,,"['dance pop', 'pop', 'post-teen pop']",6696850,"Mabel, Anne-Marie, Halsey, Madison Beer, Ellie Goulding, Camila Cabello, Demi Lovato, Bea Miller",11,0.204465,0.269103,306.301625,7,8,15,87,0,41,0.25641
57,Becky G,,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",10549437,"Lele Pons, Lunay, KAROL G, Natti Natasha, Tainy",7,0.353982,0.454821,7335.388095,2,5,7,100,0,35,0.233333
58,Bella Poarch,,[],554556,,0,0,0,0,0,0,0,11,15,87,0
59,Belly,,"['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul']",213660,"Meek Mill, French Montana, The Weeknd, Travis Scott",18,0.119608,0.19367,0.25,1,4,5,32,0,90,0.416667
60,Beyoncé,,"['dance pop', 'pop', 'r&b']",28979733,"Kehlani, Normani",23,0.075172,0.100167,0,0,2,2,16,0,91,1
61,Big Red Machine,,"['eau claire indie', 'folktronica', 'indie pop']",114465,,0,0,0,0,0,0,0,12,16,92,0
62,Big Sean,,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",8813312,"Meek Mill, French Montana, Bas, Ty Dolla $ign",16,0.131123,0.182618,2643.305429,11,4,15,32,0,41,0.186813
63,Billie Eilish,,"['electropop', 'pop']",49661223,"Tate McRae, Lorde, Ashe, Bazzi, MARINA, Melanie Martinez, Halsey, Madison Beer, The Neighbourhood, Harry Styles, Conan Gray, Bea Miller",11,0.21223,0.29742,0,0,12,12,87,0,95,0.227273
64,Bing Crosby,,"['adult standards', 'easy listening', 'lounge', 'swing']",364245,"Andy Williams, Perry Como, Burl Ives",2,0.8,0.875,1.5,3,3,6,97,9,96,0.466667
65,Bizarrap,,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",3523497,"KHEA, Trueno",1,1,1,0,2,2,4,94,17,97,1
66,Black Eyed Peas,,"['dance pop', 'pop', 'pop rap']",6109688,"Justin Timberlake, Gwen Stefani, Jason Derulo, Nelly Furtado, Britney Spears",13,0.147084,0.186472,62.666667,2,5,7,87,0,41,0.45
67,Blind Channel,,"['eurovision', 'oulu metal', 'trancecore']",130314,,0,0,0,0,0,0,0,13,18,98,0
68,Blxst,,[],196373,"K CAMP, Vedo",1,1,1,0,0,2,2,16,0,100,0
69,Bo Burnham,,['comic'],1175507,Dream,17,0.092292,0.108336,0,0,1,1,32,0,102,0
70,Bobby Helms,,[],20883,"Brenda Lee, Darlene Love, Perry Como, Burl Ives",2,0.75,0.833333,6,1,4,5,97,9,83,0.2
71,Bonez MC,,"['german hip hop', 'hamburg hip hop']",1710401,"Zuna, Gzuz, Bausa, Dardan, RAF Camora, 187 Strassenbande, KC Rebell",4,0.483871,0.661111,10.816667,3,7,10,10,2,9,0.321429
72,Booba,,"['francoton', 'french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']",2230120,,0,0,0,0,0,0,0,14,19,103,0
73,Boomdabash,,"['italian adult pop', 'italian pop', 'italian reggae']",557205,Fedez,1,1,1,0,0,1,1,59,20,105,0
74,Bosh,,[],245,,0,0,0,0,0,0,0,15,21,106,0
75,Boza,,['reggaeton'],319996,,0,0,0,0,1,0,1,100,0,107,0
76,Brenda Lee,,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rockabilly', 'vocal jazz']",230079,"Andy Williams, Perry Como",2,0.75,0.833333,1,3,2,5,97,9,63,0.5
77,Brent Faiyaz,,"['dmv rap', 'pop', 'r&b', 'rap']",1815829,"H.E.R., PARTYNEXTDOOR, Bryson Tiller",20,0.095604,0.138377,3372.333333,5,3,8,16,0,41,0.35
78,Brett Eldredge,,"['contemporary country', 'country', 'country road', 'modern country rock']",1314421,Walker Hayes,1,1,1,0,1,1,2,17,22,108,0
79,Bring Me The Horizon,,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",4023393,,0,0,0,0,0,0,0,18,23,109,0
80,Britney Spears,,"['dance pop', 'pop', 'post-teen pop']",9746519,"Miley Cyrus, Kylie Minogue, Kelly Clarkson, Gwen Stefani, Nelly Furtado",12,0.170588,0.215817,1711.083333,6,5,11,87,0,41,0.267857
81,Bruce Springsteen,,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",4347910,,0,0,0,0,0,0,0,19,24,110,0
82,Bruno Mars,,"['dance pop', 'pop']",34089732,"One Direction, Meghan Trainor, Katy Perry, ZAYN, Justin Timberlake, Jason Derulo, Jason Mraz",11,0.221527,0.289716,0,0,7,7,87,0,111,0.047619
83,Bryson Tiller,,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']",5121542,"Jhené Aiko, Brent Faiyaz, PARTYNEXTDOOR",20,0.095342,0.134737,1057.333333,8,3,11,16,0,41,0.232143
84,Burl Ives,,"['adult standards', 'american folk revival']",59522,Perry Como,2,0.6,0.666667,0,3,1,4,97,9,63,0.333333
85,BØRNS,,"['modern alternative rock', 'modern rock', 'pop']",1039077,,0,0,0,0,4,0,4,87,0,36,0.166667
86,C. Tangana,,['urbano espanol'],1541998,Marc Seguí,1,1,1,186,1,1,2,100,0,34,0
87,CJ,,['nyc rap'],190295,DDG,20,0.084378,0.107492,0,0,1,1,66,0,112,0
88,CORPSE,,"['dream smp', 'viral rap']",1896748,Dream,17,0.092292,0.108336,0,0,1,1,32,0,113,0
89,Cali Y El Dandee,,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",3227829,Piso 21,7,0.269231,0.30551,1.833333,6,1,7,100,0,32,0.266667
90,Calvin Harris,,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']",22161803,"Major Lazer, Kygo, Galantis, The Chainsmokers",14,0.14741,0.187689,10,1,4,5,72,0,55,0.416667
91,Camila Cabello,,"['dance pop', 'pop', 'post-teen pop']",23525145,"Meghan Trainor, ZAYN, Niall Horan, Shawn Mendes, Madison Beer, Selena Gomez, Liam Payne, Demi Lovato, Bazzi, Normani",10,0.23803,0.306589,8634.217891,19,10,29,87,0,41,0.193676
92,Camilo,,"['colombian pop', 'reggaeton colombiano']",11534629,"Manuel Turizo, Reik, KAROL G, Piso 21, Sebastian Yatra, TINI, Natti Natasha, Cali Y El Dandee",4,0.479452,0.564286,1599.775905,1,8,9,100,0,32,0.25
93,Capital Bra,,['german hip hop'],4132330,"Samra, Miksu / Macloud, Zuna, AK AUSSERKONTROLLE, Bausa, Dardan, KC Rebell",3,0.576923,0.7,27.65,1,7,8,10,2,9,0.214286
94,Cardi B,,"['dance pop', 'pop', 'pop rap', 'rap']",18068144,"BIA, Lizzo, Megan Thee Stallion, Nicki Minaj, Saweetie, Normani",23,0.077055,0.121921,275.333333,4,6,10,16,0,114,0.261905
95,Childish Gambino,,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",8303952,"BROCKHAMPTON, Kendrick Lamar, Mac Miller, Kid Cudi",17,0.115385,0.156396,194.291667,6,4,10,32,0,88,0.190476
96,Chris Brown,,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",14388608,Ty Dolla $ign,18,0.112108,0.15244,0,0,1,1,32,0,115,0
97,Chris Rea,,"['album rock', 'blues rock', 'classic rock', 'mellow gold', 'soft rock', 'sophisti-pop']",664849,,0,0,0,0,0,0,0,20,25,116,0
98,Christian Nodal,,"['mariachi', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",8705180,Banda MS de Sergio Lizárraga,1,1,1,0,0,1,1,9,13,117,0
99,Chuck Berry,,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",1464272,,0,0,0,0,1,0,1,30,26,118,0
100,Clairo,,"['bedroom pop', 'indie pop', 'pop']",2827220,,0,0,0,0,2,0,2,87,0,16,0.5
101,Clean Bandit,,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",4497572,"Ellie Goulding, Anne-Marie, Mabel",12,0.167954,0.20448,21.97381,5,3,8,87,0,41,0.357143
102,Cochise,,"['plugg', 'vapor trap', 'viral rap']",188939,,0,0,0,0,0,0,0,21,27,119,0
103,Coldplay,,"['permanent wave', 'pop']",31979566,"Vance Joy, Tom Odell, Oasis, Kygo, Maroon 5, Hozier, OneRepublic, The Killers",12,0.188976,0.251146,0,0,8,8,72,0,123,0.125
104,Conan Gray,,"['bedroom pop', 'electropop', 'indie pop', 'pop']",4066357,"Ashe, Clairo, Wallows, Beach Bunny",13,0.135303,0.166925,1187.768919,7,4,11,87,0,41,0.138889
105,Conkarah,,['jawaiian'],67471,,0,0,0,0,0,0,0,22,28,124,0
106,Cordae,,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop', 'vapor trap']",1525155,,0,0,0,0,12,0,12,66,0,12,0.189394
107,Crissin,,[],7195,,0,0,0,0,0,0,0,23,29,125,0
108,Curtis Waters,,[],70041,"ElyOtto, Peach Tree Rascals",1,1,1,0,0,2,2,64,0,127,0
109,DDG,,"['rap', 'trap']",538841,"Cordae, Lil Yachty",19,0.091627,0.122358,598.937103,8,2,10,66,0,41,0.1
110,DJ Ivis,,['piseiro'],389338,,0,0,0,0,0,0,0,24,30,128,0
111,DJ Khaled,,"['hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6427995,"Lil Wayne, Ty Dolla $ign, French Montana, Meek Mill, Big Sean",17,0.12202,0.178859,180,2,5,7,32,0,41,0.452381
112,DJ Snake,,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",7462663,Major Lazer,3,0.5,0.611111,0,1,1,2,72,0,53,0
113,DMX,,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",2839404,,0,0,0,0,1,0,1,32,0,129,0
114,DaBaby,,"['north carolina hip hop', 'rap']",8063132,"Roddy Ricch, NLE Choppa, Cordae, Gunna, Internet Money, Lil Tecca, Lil Mosey, YNW Melly, NAV",16,0.123492,0.200651,189.376812,5,9,14,66,0,41,0.327273
115,Daddy Yankee,,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",24456517,"Jowell & Randy, Arcangel, Nicky Jam, Yandel, Wisin, Farruko",1,1,1,0,0,6,6,100,0,130,0.8
116,Dadá Boladão,,"['brega funk', 'funk carioca']",211684,,0,0,0,0,1,0,1,90,8,131,0
117,Dalex,,"['latin', 'r&b en espanol', 'reggaeton', 'trap latino']",3697676,"Alex Rose, Nio Garcia, Myke Towers, Lunay, Rvssian, Anuel AA, Jhay Cortez, Kevin Roldan",8,0.304348,0.463844,4.193838,3,8,11,100,0,32,0.644444
118,Damso,,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']",3170971,"Gradur, Maes, Ninho",1,1,1,0,0,3,3,6,11,132,0.666667
119,Dan + Shay,,"['contemporary country', 'country', 'pop']",2408625,"Luke Combs, Kane Brown, Morgan Wallen",1,1,1,0,3,3,6,57,31,133,1
120,Dardan,,[],279,,0,0,0,0,9,0,9,10,2,4,0.333333
121,Darlene Love,,['brill building pop'],39786,The Ronettes,1,1,1,2,2,1,3,97,9,82,0
122,Daryl Hall & John Oates,,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",1596491,,0,0,0,0,2,0,2,68,32,134,0
123,Dave,,"['jam band', 'neo mellow', 'pop rock']",1598864,,0,0,0,0,0,0,0,25,33,135,0
124,Daði Freyr,,"['icelandic pop', 'sunnlensk tonlist']",173660,,0,0,0,0,2,0,2,35,14,136,1
125,Dean Lewis,,"['australian pop', 'pop', 'pop rock']",1738417,"JP Saxe, Lewis Capaldi, Alec Benjamin, BANNERS",13,0.139647,0.177147,4746.07121,7,4,11,72,0,41,0.142857
126,Dean Martin,,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",1166651,"Andy Williams, Nat King Cole, Perry Como, Bing Crosby",2,0.75,0.833333,0.333333,3,4,7,97,9,137,0.5
127,Demi Lovato,,"['dance pop', 'pop', 'post-teen pop']",20704156,"Miley Cyrus, Meghan Trainor, Jonas Brothers, Sabrina Carpenter, Madison Beer, Camila Cabello, Selena Gomez",11,0.216958,0.27929,1558.327733,16,7,23,87,0,41,0.186275
128,Diego & Victor Hugo,,"['sertanejo pop', 'sertanejo universitario']",1661468,Henrique & Juliano,4,0.4,0.486111,14.5,4,1,5,51,34,138,0.333333
